MATERIAL_NUMBER,MATERIAL_DESCRIPTION
000000007234155001,Chagas E2G 300 R1
000000007216742001,CA 125 Gen2 E2G 100 R2
000000011988018001,HIV-Ag Elecsys Con F1 Bestaet-R
000000004568435001,B12 Gen2 Elecsys V-high
000000007360282001,tTau Elecsys Ctr 1
000000007232098529,VITAMIN D total E2G 300 PT1
000000010583363001,iTDM-A MPA cobas MS LeadCal F1 w/o value
000000005879477001,C-PEPTIDE Elecsys CalCheck F5
000000007478259001,PC Growth Elecsys Level 2
000000009231099001,<HCV> Gen2 Elecsys R1 V2
000000008014477001,<HAV> Gen2.2 E2G 300 R2
000000007229640529,ACTH E2G 100 R2
000000004467051001,AFP Gen2.1 Elecsys  Calibrator 1
000000010081953001,DHEAS Gen2 E2G 100 R2
000000009687866001,iTDM-C cobas MS LeadCal F1
000000006270620001,T3 Elecsys CalCheck F5
000000007187793001,Prog Gen3 Elecsys Cal 1
000000007230451001,CA 15-3 Gen2 E2G 100 R2
000000006219578001,VIT.D (25-OH) total Elecsys R1
000000008782067001,Abeta42 Gen2 Elecsys R2
000000007232829529,HE4 E2G 100 R1
000000008922926001,PTH Elecsys R2 V2
000000006347118001,T4 Elecsys CalCheck F4
000000007304889529,POSTN V2 Elecsys Ctr 1
000000009848240529,iSV Cobas MS CalCheck F5 w/o value
000000009608940001,PCT E2G 100 R2 V2
000000009733701529,iSV Cobas MS LeadCal F8
000000008761981001,HBSAG Gen2 Elecsys R1 V2
000000006599095001,TBK Elecsys Cal 2 V2
000000005101212001,IL-6 Elecsys CalCheck F2
000000005989353001,DIG Elecsys CalCheck F3
000000005022258001,<CCP> Elecsys R2
000000009175172001,PIVKA-II E2G 300 R2 V2
000000005860172001,LH Elecsys CalCheck F1
000000008120595001,B-CL Elecsys CalCheck F4
000000004953975001,<HAV> Gen2.1 Elecsys Cal2
000000005991170001,HSV-2 IGG Elecsys R1
000000011753479001,Elecsys T-uptake Cal 2
000000004680146529,RUBELLA IGG Elecsys Cal 1
000000012048302001,Elecsys Osteocalcin R1
000000004962656001,PC THYRO AB Elecsys Ctr 2
000000007217005529,CEA E2G Gen2 300 R1
000000011967126001,<HBe> Elecsys R1
000000009607501529,Vit.D total Gen3 E2G 100 R2
000000008507490001,ASD Elecsys Cal 1
000000009035583001,<HEV> IgM Elecsys R2
000000006273882001,MYOGLOB Elecsys CalCheck F1
000000008692394001,HBsAg G2 Auto Conf E2G PT1 Conf
000000008127816001,Abeta42 E2G 100 R2
000000009088431967,Pro-C3 CS Elecsys RUO int
000000011753576001,TBK Elecsys V-medium
000000009658211529,iIC cobas MS Level 2
000000008127808001,Abeta42 E2G 100 R1
000000005880076001,HBA1C TQ Gen3 F2 Stand
000000007216947001,CA 72-4 E2G 300 R2
000000007232632001,FREE HCGB E2G 100 R1
000000007217609529,FT3 Gen3 E2G 300 R1
000000009609466001,FSH E2G 100 R2 V2
000000005092051001,TROP-T HS Elecsys R1
000000003370569001,SHBG Elecsys R1
000000006512399001,proGRP Elecsys Cal 1
000000009669957001,iISD cobas MS Lead Cal F7
000000009489444001,TNT Gen6 Elecsys Cal 1
000000007250924001,"Ku-Matrix E2G Dil 12,32 ml"
000000006219551001,VIT.D (25-OH) total Elecsys PT1
000000004929675001,PROBNP Gen2 Elecsys CalCheck F3 medium
000000005887542001,HE4 Elecsys Cal 2
000000007217706529,FT4 Gen2 E2G 300 R2
000000009604928001,iTDM-A Cobas MS LeadCal F0
000000004679768001,RUBELLA IGM Elecsys Cal 2
000000011756184001,Elecsys LH R2
000000011922556001,<HBS> Elecsys CTR2
000000007229836001,<HAV> Gen2.1 E2G 300 R2
000000009308539001,PCT Gen2 Elecsys CalCheck F1
000000007234562001,HCG STAT II E2G 100 R1
000000008367442001,EBV EBNA IgG Elecsys Cal 2
000000007218389529,T4 Gen2 E2G 300 R1
000000006440436001,FT4 Gen2 Elecsys Cal 1
000000007217943529,PROBNP Gen2 E2G 100 R1
000000009848207001,iSV Cobas MS CalCheck F1 w/o value
000000004817028001,RUBELLA IGM Elecsys R2
000000007229925529,<HBC> Gen2.2 E2G 300 R2
000000007746873001,tTau Elecsys CalCheck F4
000000009609601529,FOLATE Gen3 E2G 100 R1 V2
000000009617809001,UniCon N Coag bottle w/o value
000000012213621001,DIGIT Elecsys Cal 1
000000009848894529,iISD cobas MS CalCheck F5 w/o value
000000007358466001,pTau Elecsys Ctr 2
000000007123426001,HBsAG Gen2 Quant Gen2 Elecsys Ctr 1
000000007304889001,POSTN V2 Elecsys Ctr 1
000000004962702001,<TSHR> Elecsys F2 MK
000000007187840001,Prog Gen3 Elecsys MK F1
000000009608842529,T3 E2G 100 R1 V2
000000008495793529,<HBs> Gen2 E2G 300 R1 V2
000000004472896001,FT4 Gen2 Elecsys F1 ML
000000010036478529,Dengue AG Elecsys MK F6
000000009556028529,FSH Elecsys V-low V2
000000012015757001,PTH Elecsys ML 1
000000009396136529,Cort Gen3 Elecsys MK F4 Speichel
000000009051325529,PTH (1-84) E2G 100 R2 V2
000000004817265001,TG Gen2 Elecsys F1 ML
000000004877519001,PAPP-A Elecsys F 5 MK
000000009758372529,ApoE4 Elecsys CalCheck F3
000000010318414001,Dengue IgM Elecsys MK F5
000000010036427529,Dengue AG Elecsys MK F1
000000009014462529,sBCMA Elecsys MK F1
000000009881166529,IgE Gen2 Elecsys MK F4
000000008720207001,Biotin Stock-Lyo F1 neg
000000010319003001,IGF-1 Elecsys Hook Probe
000000009114653529,FT4 Gen4 Elecsys Cal 1
000000008688079529,Active B12 E2G 300 R1 V2
000000007227663001,ISD-E Elecsys MK F3
000000004478436001,T3 Gen2 Elecsys F3 ML
000000011012053001,PM-CHROM F-oSw
000000011198882001,PN-HDL REFLO F1
000000010286849001,pT217p Elecsys Cal 2
000000005343640001,TESTO Gen2 Elecsys R2
000000008913447001,<TPO> Gen2 Elecsys F4 ML V2
000000009069348529,SFLT1 Elecsys CalCheck F3
000000008259640001,Zika IgG Elecsys MK F6
000000007374127529,<HBC> Gen2.2 Elecsys R0
000000009175083529,Chikungunya IgG Elecsys MK F3
000000010674431967,Ab42p cRUO Elecsys Bulk Ctr 1
000000010318376529,Dengue IgM Elecsys MK F1
000000007359896529,pTau Elecsys R1
000000009449388529,PCT Gen2 Elecsys IKP F12
000000006863833529,AMH Elecsys Ctr 2
000000004799704001,RUBELLA IGG Elecsys F 5 MK
000000008860106529,FREE HCGB Elecsys R2 V2
000000006518427001,B12 Gen2 Elecsys MK F1
000000010674130967,NPTX 2 cRUO Elecsys MVR 0-Stand MK
000000007547269529,Chagas Elecsys MK F3
000000004869290001,FREE HCGB Elecsys MK F6
000000009289976529,SARS-CoV2-S Elecsys Ctr 1
000000006603416001,ISD Elecsys MK F4
000000007172001001,E2 Gen3 Elecsys CalCheck F5
000000005573912001,PTH (1-84) Elecsys MK F6
000000005887542529,HE4 Elecsys Cal 2
000000009606963529,Cort Gen3 Elecsys CalCheck F3  Serum
000000008481172529,TSH E2G 300 R1 V2
000000011968203001,<HBe> Elecsys F2 ML
000000007172125001,E2 Gen3 Elecsys MK F8
000000012015714001,Elecsys PTH Calibrator 2
000000009231099529,<HCV> Gen2 Elecsys R1 V2
000000007110154529,SCC Elecsys Cal 2
000000010318392001,Dengue IgM Elecsys MK F3
000000005043131001,TROP-T HS Elecsys MK F5
000000012048426001,OSTEOC Elecsys ML F4
000000007738285001,CRP QC-Serum Set 2 WR
000000008951667001,PCT Gen2 Elecsys MK F1
000000008710589529,EBV EBNA IgG Elecsys MK F2
000000007955871529,SA Coat-Bead Elecsys FT4 Gen3
000000010036478001,Dengue AG Elecsys MK F6
000000009051210529,CA 72-4 E2G 300 R2 V2
000000010766689529,<CCP> Elecsys MK F4 V2
000000004877527529,PAPP-A Elecsys MK F6
000000009751882001,pT181p Elecsys MK F3
000000012015773001,PTH Elecsys ML 3
000000007469683529,IGF-1 E2G 100 R1
