MATERIAL_NUMBER,MATERIAL_DESCRIPTION
000000009684786001,PG I Elecsys MK F5
000000005990599529,HSV-1 IGG Elecsys R1
000000009290303529,SARS-CoV2-S Elecsys CalCheck F5
000000007030169001,<HBs> Gen2 Elecsys R1 (200er)
000000009175911529,<HBC> Gen2.2 Elecsys R1 (200er) V2
000000009203362529,Anti-SARS-CoV-2 Elecsys R1 (200er)
000000010318384529,Dengue IgM Elecsys MK F2
000000005142644529,PLGF Elecsys R2
000000010526432529,TBK Gen2 Elecsys MK F1
000000010599707529,Lyme IgM Elecsys Cal 1
000000007372655529,<HBs> Gen2 E2G 300 R2 RT
000000007209380001,PCT Elecsys Ctr 2 FoSW
000000009802487529,<HEV> IgG E2G 100 R2
000000007547242001,Chagas Elecsys MK F2
000000012017474001,CORT Elecsys Cal 1
000000009881107001,IgE Gen2 Elecsys MK F1
000000008329125529,HCV Duo M2 Elecsys Cal 3
000000010235148001,PRECIBIL OHNE SOLLWERTE
000000008014060001,<HAV> Gen2.2 Elecsys MK F5
000000009396136001,Cort Gen3 Elecsys MK F4 Speichel
000000003140164001,HBsAg Elecsys F3 IKP
000000009031987529,<HEV> IgM Elecsys Cal 1
000000006512445001,proGRP Elecsys MK F1
000000009867180001,Gastrin 17 Elecsys MK F1
000000005846579529,PC Varia Elecsys Level 1
000000009922628529,Cort Gen3 E2G 100 R1
000000009721860529,HIV Duo Gen2 M1 Elecsys Cal 1
000000004869265001,FREE HCGB Elecsys MK F3
000000008728186001,sTfR Gen2 Cal
000000010281677529,pT217p E2G 100 R2
000000006980295001,GDF-15 Elecsys MK F1
000000012015625001,TROPONIN-T Gen3 Elecsys F7 IKP
000000010653574529,<TPO> Gen3 Elecsys MK F1
000000009230246529,CK-MB Gen4 E2G 100 R1 V2
000000004954050001,<HAV> Gen2.1 Elecsys Ctr 1
000000009191267001,PRO-C3 Elecsys CalCheck F3
000000011756095001,LH Elecsys F1 ML
000000010081902529,DHEAS Gen2 Elecsys R1
000000009902899529,Lyme IgG Elecsys Cal 2
000000010674164967,NPTX 2 cRUO Elecsys Bulk MK F2
000000012137259001,CA 19-9 Elecsys F5 ML
000000012047527001,PROG Gen2 Elecsys F2 ML
000000012213702001,Digitoxin Elecsys ML4
000000007900490001,Active B12 Elecsys MK F6
000000007233728529,Tacro E2G 100 R2
000000010036443529,Dengue AG Elecsys MK F3
000000011966979001,<HBc>IgM Elecsys F2 ML
000000008228981001,PTH Gen2 Elecsys MK F3
000000005887585001,HE4 Elecsys MK F1
000000007668848529,HIV Duo M2 Elecsys Cal 4
000000008905754529,TG Gen2 Elecsys R2 V2
000000009721967529,HIV Duo Gen2 M2 Elecsys Cal 4
000000009023941529,<HEV> IgG Elecsys Ctr 2
000000004711505001,TOXO IGM Elecsys F1 ML
000000008754411001,HCV Duo M1 Elecsys MK F1
000000006430821529,FT4 Gen2 Elecsys R2
000000012214440001,CA 72-4 Elecsys F3 ML
000000007227671001,ISD-E Elecsys MK F4
000000003044548001,CA 15-3 Gen2 Elecsys F4 ML
000000012151944001,B-CL Elecsys ML 4
000000009289976001,SARS-CoV2-S Elecsys Ctr 1
000000009606190001,ApoE4 Elecsys MK F5
000000008228507529,PTH Gen2 Elecsys MK F1
000000008160562529,PC HCC Elecsys Level 2
000000007967187529,<p53> E2G 100 R2
000000011897586001,<HBs> Elecsys F5 ML
000000004478215529,T4 Gen2 Elecsys F2 ML
000000007172095001,E2 Gen3 Elecsys MK F6
000000009355677529,PLGF E2G 100 R2 V2
000000010526483529,TBK Gen2 Elecsys MK F5
000000008779449529,AFP-L3 Elecsys R1
000000004817150001,RUBELLA IGM Elecsys F1 MK
000000006979998001,Abeta42 Elecsys MK F2
000000007551592001,Vit.D total Gen2 Elecsys MK F1
000000009495452529,TNT Gen6 Elecsys MK F6
000000005217652001,TROP-T HS Elecsys MK F Leerwertkontrolle
000000011897551001,<HBs> Elecsys F2 ML
000000009396454529,Cort Gen3 E2G 300 R2
000000008245703529,Zika IgG Elecsys Cal 1
000000010286504001,pT217p Elecsys MK F1
000000009635165529,<HBs> Gen2 E2G 100 R2 RT V2
000000009042539529,Vit.D total Gen3 Elecsys PT1
000000008122717529,HIV COMBI PT Elecsys PT-Reagenz (200er)
000000009128972001,Vit.D total Gen3 Elecsys MK F4
000000008951730529,PCT Gen2 Elecsys MK F4
000000009108971529,FT4 Gen4 E2G 300 R1
000000006603432001,ISD Elecsys MK F6
000000011888838001,E2 Gen2 Elecsys Cal 1
000000004962753001,<TSHR> Elecsys F6 MK
000000009232168529,AFP Elecsys R2 (200er) V2
000000009608893529,PSA E2G 100 R2 V2
000000009014527529,sBCMA Elecsys MK F3
000000007967268001,<p53> Elecsys MK F3
000000004962761001,<TSHR> Elecsys F7 MK
000000008850852001,Abeta42 Gen2 Elecsys MK F5
000000009449248529,PCT Gen2 Elecsys IKP F4
000000009756426001,Dengue IgG Elecsys MK F5
000000010081821529,DHEAS Gen2 Elecsys MK F2
000000004472942529,FT4 Gen2 Elecsys F3 ML
000000010674083967,NPTX 2 cRUO Elecsys Bulk Ctr 1
000000011968521001,Myoglobin Elecsys F5 ML
000000007231750529,PCT E2G 100 R1
000000010036443001,Dengue AG Elecsys MK F3
000000005092078001,TROP-T HS Elecsys R1 (200er)
000000008694036001,PC EBV-M-G Elecsys Level 3
000000004538145001,<TG> Gen.2 Elecsys F4 ML
000000007172052001,E2 Gen3 Elecsys MK F3
000000010081830001,DHEAS Gen2 Elecsys MK F3
000000006603394001,ISD Elecsys MK F2
000000007110219001,SCC Elecsys Ctr 2
000000009397582529,Cort Gen3 Elecsys MK F4 Urin
000000007229895529,<HBC> Gen2.2 E2G 100 R1 V2
000000006518443001,B12 Gen2 Elecsys MK F3
000000007551657529,Vit.D total Gen2 Elecsys MK F6
000000005090601001,PCT Elecsys IKP F4
000000009489452529,TNT Gen6 Elecsys Cal 2
000000006526152529,TG Gen2 Elecsys CalCheck F2
000000007551894529,Vit.D total Gen2 Elecsys R1
000000007209380529,PCT Elecsys Ctr 2 FoSW
000000007209371001,PCT Elecsys Ctr 1 FoSW
000000009340033529,<HBc> G2 quant E2G 250 R2
000000007235755529,SHBG E2G 100 R2
000000007232039001,VITAMIN D total E2G 300 R1
000000010286547529,pT217p Elecsys MK F2
000000006980104529,Abeta42 Elecsys CalCheck F4
000000009723846001,sTREM-1 Elecsys MK F3
000000008127816529,Abeta42 E2G 100 R2
000000010274760529,Abeta40 E2G 100 R1
000000009232150529,AFP Elecsys R2 V2
000000005462762001,HCG Elecsys CalCheck F1
000000004929748001,FOLATE Gen3 Elecsys CalCheck F3
000000006979947001,Abeta42 Elecsys Ctr 1
000000007234163529,Chagas E2G 100 R2
000000004711289001,TOXO IGG Elecsys Ctr 1
000000009609512001,free PSA II E2G 100 R1 V2
000000009811001001,iTDM-B Cobas MS LeadCal F3
000000009556451001,LH Gen2 Elecsys Cal 2 V2
000000003114953001,HCG+B-II Elecsys R2
000000009880950001,IgE Gen2 Elecsys Cal 1
000000005092116529,TROP-T HS Elecsys Cal1
000000009950419001,Dengue AG E2G 100 R1
000000009811010001,iTDM-B Cobas MS LeadCal F4
000000004914406001,PROBNP Gen2 Elecsys R2
000000006219608001,Vitamin D Elecsys CC F2
000000009489576001,IFNg Elecsys Cal 2
000000011831984001,Elecsys Digoxin Calibr. low
000000009175920001,<HBC> Gen2.2 E2G 300 R1 V2
000000011922548001,<HBS> Elecsys CTR1
000000007231482001,INSULIN E2G 100 R1
000000009721576529,HIV Duo Gen2 M1 E2G 100 R2
000000007235011529,IL6 E2G 100 R1
000000012048353001,OSTEOC Elecsys Cal 1
000000006979955001,Abeta42 Elecsys Ctr 2
000000009880500967,NfL PC Elecsys RUO int
000000007900864001,Active B12 Elecsys R1
000000008955204001,PCT Gen2 Elecsys Ctr 1
000000009355707001,SFLT1 E2G 100 R2 V2
000000009230254001,CK-MB Gen4 E2G 100 R2 V2
000000007217021529,CEA E2G 300 R2
000000007231059529,HBSAG Gen2 E2G 100 R1
000000007216769001,CA 125 Gen2 E2G 300 R2
000000009035605001,<HEV> IgM E2G 300 R1
000000009593217001,iTDM-A cobas MS Cal 1 w/o value
000000009639462001,iTDM-B cobas MS Cal 1 w/o value
000000007900333001,Active B12 Elecsys Cal 2
000000009308571001,PCT Gen2 Elecsys CalCheck F5
000000009608206001,<TPO> Gen2 E2G 100 R2
000000007152906001,HTLV Elecsys R1 (200er)
000000007305362001,POSTN V2 Elecsys Cal 1
000000009396446001,Cort Gen3 E2G 300 R1
000000009487409001,PC HIV Gen2 Elecsys Level 2 lq
000000009669973529,iISD cobas MS Lead Cal F8
000000007305389001,POSTN V2 Elecsys Cal 2
000000008806624001,PC HCC Elecsys Level 2 V2
000000005939305001,CA 125 Elecsys CalCheck F2
000000007746865001,tTau Elecsys CalCheck F3
000000008865892001,HIV COMBI PT Elecsys R2 (200er) V2
000000006484239001,Toxo IGG Avidity Elecsys Diluent
000000007305265529,POSTN V2 Elecsys CalCheck F5
000000007232306001,CT E2G 100 R2
000000009959149001,Rubella IgG Elecsys Cal 2 V2
000000008922900001,HCG STAT II E2G 100 R2 V2
000000007360037001,tTau Elecsys R2
000000011836951001,Elecsys Free PSA Calibrator 2
000000008507520001,ASD Elecsys Cal 2
000000008694028529,PC EBV-M-G Elecsys Level 2
000000009400885001,Leerflasche Ku 4 ml (Ver. black)
000000007564376001,Vit.D total Gen2 Elecsys CalCheck F5
000000009699759001,Anti-AAVrh74 Elecsys Ctr 1
000000009811044001,iTDM-B Cobas MS LeadCal F7
000000008774480001,PSA Elecsys R2 (200er) V2
000000006343511001,OSTEOC Elecsys CalCheck F1
000000009609474001,free PSA II E2G 100 R2 V2
000000009607552529,TSH E2G 100 R2 V2
000000008778442001,PCT E2G 300 R2 V2
000000007235194529,PLGF E2G 100 R1
000000007240635001,"SA Coated Beads E2G 14,1 ml"
000000009051147001,<CCP> E2G 100 R2 V2
000000007232373001,<CMV> IGG E2G 100 R1
000000005090709001,PCT Elecsys CalCheck F3
000000006347100001,T4 Elecsys CalCheck F3
000000009721568529,HIV Duo Gen2 M1 E2G 100 R1
000000007235658529,SFLT1 E2G 100 R2
000000008120552001,B-CL Elecsys CalCheck F1
000000009042539001,Vit.D total Gen3 Elecsys PT1
000000008806322001,AFP-L3 Elecsys Cal 1
000000008949549001,AFP-L3 Elecsys CalCheck F3
000000009733698001,iSV Cobas MS LeadCal F7
000000004681576001,ACTH V-medium Elecsys bottle
000000005860202001,LH Elecsys CalCheck F3
000000009487417001,PC HIV Gen2 Elecsys Level 3 lq
000000009658220529,iIC cobas MS Level 3
000000004849671529,HBSAG Gen2 Elecsys Cal 2
000000003139808001,<HCV> Elecsys Cal 1
000000007231075529,HBSAG Gen2 E2G 100 R2
000000011753584001,TBK Elecsys V-high
000000007233906001,TOXO IGG E2G 300 R2
000000010281677001,pT217p E2G 100 R2
000000009487433001,PC HIV Gen2 Elecsys Level 5 lq
000000007230605001,CORT Gen2 E2G 100 R1
000000009617779001,UniCal Coag bottle w/o value
000000009670050001,iISD cobas MS Ctr 1 w/o value
000000007216483529,<TPO> E2G 300 R1
000000009848207529,iSV Cobas MS CalCheck F1 w/o value
000000008688079001,Active B12 E2G 300 R1 V2
000000005859476001,DHEAS Elecsys CalCheck F4
000000009639543529,iTDM-B cobas MS Cal 2 w/o value
000000012214695001,CORT Elecsys V-high
000000009848878001,iISD cobas MS CalCheck F3 w/o value
000000009232184001,PIVKA-II Elecsys R2 V2
000000011938886001,Elecsys Troponin-T Gen3 R2
000000007233353529,RUBELLA IGM E2G 100 R1
000000005991226529,HSV-2 IGG Elecsys Cal 2
000000007208472001,CA 15-3 Gen2 E2G 300 R1
000000006602053001,ISD Elecsys Cal 1
000000008481156001,TSH Elecsys R1 V2
000000006885586001,PC HIV Gen2 Elecsys Level 1
000000007217455001,FOLATE Gen3 E2G 300 PT2
000000007900945001,Active B12 E2G 300 R2
000000009932771001,Dengue AG Elecsys Cal 2
000000009120602001,HSV-1 IGG Elecsys R2 V2
000000009638385529,iSV Cobas MS Cal 1 w/o value
000000012200902001,Elecsys <TPO> R1
000000006273939001,MYOGLOB Elecsys CalCheck F4
000000011939076001,Elecsys PreciControl 2 Anti-HBc
000000005092116001,TROP-T HS Elecsys Cal1
000000009541420529,PRO-C6 Elecsys Cal 2
000000007217277529,FER Gen2 E2G 300 R1
000000007217684001,FT4 Gen2 E2G 300 R1
000000009541560529,PRO-C6 Elecsys R2
000000012152037001,B-CL Elecsys V-high
000000003045200001,anti TG Elecsys V-medium
000000005343704001,TESTO Gen2.1 Elecsys Cal 1
000000012017458001,Elecsys Cortisol R2
000000007551932529,Vit.D total Gen2 E2G 100 R1
000000007469667001,IGF-1 Elecsys R2
000000007216670001,B12 E2G 300 PT2
000000005996732001,IGE Elecsys CalCheck F3
000000005898617001,CK-MB Gen4 Elecsys CalCheck F2
000000011897454001,Elecsys Anti-HBs R2
000000011837001001,Free PSA Elecsys V-high
000000008782059001,Abeta42 Gen2 Elecsys R1
000000009495126001,Dengue IgG Elecsys Ctr 1
000000005524172001,SHBG Elecsys CalCheck F3
000000007230982001,<HAV>IGM E2G 300 R2
000000004801059001,HBSAG Gen2 Elecsys R2
000000009763953529,iTDM-A Cobas MS CalCheck F4 w/o value
000000011753266001,Elecsys TSH Calibrator 2
000000009752021001,pT181p Elecsys Ctr 2
000000004679750529,RUBELLA IGM Elecsys Cal 1
000000007232403001,<CMV> IGG E2G 300 R2
000000005887674001,HE4 Elecsys CalCheck F2
000000009880968001,IgE Gen2 Elecsys Cal 2
000000005898617529,CK-MB Gen4 Elecsys CalCheck F2
000000009669949001,iISD cobas MS Lead Cal F6
000000005573807001,PTH (1-84) Elecsys Cal 2
000000007551754529,Vit.D total Gen2 E2G 300 PT2
000000010654368529,HBsAG Gen2 Quant Elecsys Ctr 3 V3
000000009397574001,Cort Gen3 Elecsys MK F3 Urin
000000007547307001,Chagas Elecsys MK F5
000000009290281529,SARS-CoV2-S Elecsys CalCheck F3
000000008754411529,HCV Duo M1 Elecsys MK F1
000000004546016529,AFP Elecsys R1 (200er)
000000008132984529,IGFBP-3 Elecsys CalCheck F2
000000008710619529,EBV EBNA IgG Elecsys MK F3
000000010675357967,YKL 40 cRUO Elecsys Bulk MK F2
000000006512488001,proGRP Elecsys MK F5
000000009756400001,Dengue IgG Elecsys MK F3
000000009049517529,FSH Elecsys R2 V2
000000005990734001,HSV-1 IGG Elecsys MK F5
000000007546556529,Chagas Elecsys R1 (200er)
000000010674024967,NPTX 2 cRUO Elecsys Bulk Cal 2
000000012015803001,PTH Elecsys ML 6
000000009230254529,CK-MB Gen4 E2G 100 R2 V2
000000009304452001,HBeAg Elecsys F8 ML
000000008709963529,EBV EBNA IgG Elecsys Ctr 2
000000008898367529,<TPO> Gen2 E2G 300 R2
000000007469691529,IGF-1 E2G 100 R2
000000012237954529,CA 125 Gen 2 Elecsys R2
000000012003082001,IgE Elecsys F4 ML
000000007233612529,Syphilis E2G 100 R1
000000006887490529,AMH Elecsys CalCheck F2
000000009393331529,CA 242 Elecsys MK F6
000000010674636967,Ab42p cRUO E2G 100 R1
000000010207655529,Cort Gen3 Elecsys Cal 1 Urin V2
000000007234830529,HSV-2 IGG E2G 100 R1
000000007218478001,TESTO Gen2 E2G 300 R1
000000005094275001,TROPONIN I Elecsys MK F1
000000009744673529,pT181p Elecsys CalCheck F1
000000005990653529,HSV-1 IGG Elecsys Cal 1
000000007469560529,IGF-1 Elecsys MK F2
000000007546530529,Chagas Elecsys R2
000000009021663529,<HEV> IgG Elecsys MK F1
000000010274565529,Abeta40 Elecsys Cal 2
000000009843779529,NFL Elecsys MK F3
000000010554347529,Anti-AAVLK03 E2G 100 R2
000000009756434529,Dengue IgG Elecsys MK F6
000000009014535529,sBCMA Elecsys MK F4
000000010081864529,DHEAS Gen2 Elecsys MK F6
000000010286776001,pT217p Elecsys MK F5
000000010674032967,NPTX 2 cRUO Elecsys Cal 1
000000005142857001,PLGF Elecsys F9 MK
000000008779368529,AFP-L3 Elecsys PT2
000000007900937529,Active B12 E2G 300 R1
000000005990793001,HSV-1/2 IGG Elecsys Ctr 2
000000009874232001,CA 50 Elecsys MK F2
000000012213630529,DIGIT Elecsys Cal 2
000000005090539001,PCT Elecsys MK F5
000000010435470529,<TG> Elecsys Cal 2 V3
000000008762236529,HBSAG Gen2 Elecsys R2 (200er) V2
000000009191321529,PTH (1-84) Elecsys R1 V2
000000007231849529,PROL Gen2.1 E2G 100 R1
000000010675390967,YKL 40 cRUO Elecsys MK F1
000000011753851529,T4 Elecsys Cal 1
000000006980325001,GDF-15 Elecsys MK F4
000000007469519529,IGF-1 Elecsys Cal 1
000000008754446529,HCV Duo M1 Elecsys MK F3
000000004914538529,PCC Elecsys Gen4 Ctr 1
000000006980023001,Abeta42 Elecsys MK F5
000000006512216529,Cort Gen2 Elecsys Cal 1
000000011751905001,PSA Elecsys F5 ML
000000008913439529,<TPO> Gen2 Elecsys F3 ML V2
000000004817281001,TG Gen2 Elecsys F3 ML
000000008904995001,CA19-9 Elecsys Hook Probe
000000009495436001,TNT Gen6 Elecsys MK F4
000000009069615529,PLGF Elecsys CalCheck F3
000000006980007001,Abeta42 Elecsys MK F3
000000010274832001,Abeta40 E2G 100 R2
000000007393989529,<HBC> Gen2.2 Elecsys R0 (200er)
000000009607633529,TG Gen2 E2G 100 R2 V2
000000009084975001,PRO-C3 Elecsys MK F1
000000012040484001,Elecsys CK-MB Gen3 R1
000000007955855001,FT4 Gen3 E2G 300 R2
000000007029942529,<HBs> Gen2 Elecsys Cal 2
000000005990602529,HSV-1 IGG Elecsys R2
000000012205807001,NSE Elecsys F3 ML
000000007900244529,Active B12 Elecsys CalCheck F3
000000007900414529,Active B12 Elecsys MK F2
000000012048396001,OSTEOC Elecsys ML F1
000000004489101529,proBNP TS Ctr. low / Level 1
000000005573874001,PTH (1-84) Elecsys MK F3
000000009129014529,Vit.D total Gen3 Elecsys MK F5
000000008229015529,PTH Gen2 Elecsys MK F6
000000007551550529,Vit.D total Gen2 Elecsys Cal 1
000000010481340529,<HDV> Elecsys Cal 2
000000012205459001,Insulin Elecsys F3 ML
000000004681681001,ACTH Elecsys F2 MK
000000008714037001,EBV VCA IgG Elecsys MK F2
000000006915957001,Syphilis Elecsys MK F6
000000008368902529,EBV IgM E2G 300 R2
000000010675403967,YKL 40 cRUO Elecsys MK F2
000000004478452001,T3 Gen2 Elecsys F5 ML
000000008850828001,Abeta42 Gen2 Elecsys MK F3
000000009043659529,T3 E2G 300 R1 V2
000000009810994529,iTDM-B Cobas MS LeadCal F2
000000010674261967,NPTX 2 cRUO Elecsys MK F5
000000009557024529,LH Elecsys ML F4 V2
000000006605656529,Cyclo Elecsys R1
000000012137232001,CA 19-9 Elecsys F4 ML
000000009583823529,TNT Gen6 E2G 300 R2
000000012237814001,<HAV> Elecsys  F1 ML
000000012205467001,Insulin Elecsys F4 ML
000000009393340529,CA 242 Elecsys MK F7
000000010081856001,DHEAS Gen2 Elecsys MK F5
000000009874259001,CA 50 Elecsys MK F3
000000010674202967,NPTX 2 cRUO Elecsys Bulk MK F5
000000011966570529,Elecsys CEA R1 2.Gen.
000000010554479529,Anti-AAVLK03 Elecsys Cal 2
000000009038272529,<HEV> IgG Elecsys R2
000000004799518529,RUBELLA IGG Elecsys R1
000000005963346001,HGH Elecsys MK F1
000000005094429001,TROPONIN I Elecsys CalCheck F5
000000009042873529,Vit.D totl Gen3 Elecsys Cal 1
000000005094313001,TROPONIN I Elecsys MK F5
000000011968670001,CK-MB Elecsys F2 IKP
000000009687874529,iTDM-C cobas MS LeadCal F2
000000007232667001,FREE HCGB E2G 100 R2
000000009128948001,Vit.D total Gen3 Elecsys MK F3
000000006518591001,CT Elecsys MK F3
000000008473536529,<TSHR> Elecsys PT Reagenz V2
000000009486542529,Chagas Elecsys Release Control
000000010599545529,Lyme IgM E2G 100 R2
000000008228990529,PTH Gen2 Elecsys MK F4
000000012132451001,PNU Plus F1-oSw 3ml
000000009398309001,Cort Gen3 Elecsys MK F3 Serum
000000008781907529,pTau Elecsys R2 V2
000000010642874529,Lyme IgG Elecsys MK F2
000000008761990529,HBSAG Gen2 Elecsys R2 V2
000000008779635529,PROBNP Gen2 E2G 300 R2 V2
000000009874291529,CA 50 Elecsys MK F7
000000005200539001,TROPONIN I Elecsys IKP F6
000000010165987529,cMyBP-C Elecsys MK F1
000000009685197001,PG II Elecsys MK F2
000000009449361001,PCT Gen2 Elecsys IKP F11
000000006512224529,Cort Gen2 Elecsys Cal 2
000000007900457529,Active B12 Elecsys MK F4
000000009489673529,TNT Gen6 Elecsys Ctr 1
000000006741193529,ISD Elecsys CalCheck F1
000000009396128001,Cort Gen3 Elecsys MK F3 Speichel
000000009752021529,pT181p Elecsys Ctr 2
000000009351795001,SARS-CoV-2 Ag Elecsys Cal 2
000000011728580001,Elecsys BlankCell B1
000000007231083001,HBSAG Gen2 E2G 300 R2
000000003333060001,S100 Elecsys F3 ML
000000009751874001,pT181p Elecsys MK F2
000000009396144001,Cort Gen3 Elecsys MK F5 Speichel
000000009393285529,CA 242 Elecsys MK F1
000000009042776529,Vit.D total Gen3 Elecsys R2
000000010304804529,pT217p Elecsys Ctr 3
000000009056122529,<TPO> Gen2 Elecsys CalCheck F1
000000009617752529,UniCon P Coag bottle w/o value
000000006863981529,AMH Elecsys R1
000000009398333001,Cort Gen3 Elecsys MK F6 Serum
000000009495428529,TNT Gen6 Elecsys MK F3
000000009820833529,<HBs> Gen3 Elecsys R2
000000010165740529,cMyBP-C Elecsys Ctr 1
000000009699686529,Anti-AAVrh74 Elecsys Cal 2
000000007360029529,tTau Elecsys R1
000000004799658001,RUBELLA IGG Elecsys F 2 MK
000000010219165529,TnI hs Elecsys Cal 1
000000006601952529,Tacro Elecsys R1
000000004995139529,<TSHR> Elecsys PT Buffer
000000009831037529,<HBs> Gen3 E2G 100 R1
000000007936583001,Parvo B19 Elecsys R1 (200er)
000000009607897001,<HCV> Gen2 E2G 100 R2 V2
000000008774595529,free PSA II Elecsys R1 V2
000000009174737529,HSV-2 IGG E2G 100 R2 V2
000000009351540529,SARS-CoV-2 Ag Elecsys MK F2
000000004348079001,C-PEPTIDE Elecsys F9 ML
000000011752839001,CEA Elecsys F1 ML
000000007358555529,pTau Elecsys MK F3
000000009355669529,PLGF Elecsys R2 V2
000000008850801529,Abeta42 Gen2 Elecsys MK F2
000000011752901001,CEA Elecsys F8 ML
000000008965633529,T4 Gen2 E2G 300 R2 V2
000000009867201001,Gastrin 17 Elecsys MK F3
000000008782075529,Abeta42 Gen2 E2G 100 R1
000000006741223529,ISD Elecsys CalCheck F4
000000008965625529,T4 Gen2 Elecsys R2 V2
000000009129995529,Vit.D total Gen3 Elecsys CC F4
000000011102869001,PN-FRUCTOSAMIN F-OSW
000000009601473529,ApoE4 Elecsys Ctr 1
000000011856251001,Elecsys Ferritin ML 2
000000009351515001,SARS-CoV-2 Ag Elecsys MK F1
000000005160278001,SFLT1 Elecsys Cal 1
000000006741223001,ISD Elecsys CalCheck F4
000000007304919529,POSTN V2 Elecsys Ctr 3
000000009699805001,Anti-AAVrh74 E2G 100 R2
000000009203362001,Anti-SARS-CoV-2 Elecsys R1 (200er)
000000008774595001,free PSA II Elecsys R1 V2
000000009290273001,SARS-CoV2-S Elecsys CalCheck F2
000000006885594001,PC HIV Gen2 Elecsys Level 2
000000004954653001,TOXO IGG Elecsys F3 CalCheck medium
000000005887712529,HE4 Elecsys CalCheck F5
000000008497982001,TROP-T HS E2G 300 R1 V2
000000009608222001,<TSHR> E2G 100 R2 V2
000000011967185001,Elecsys Anti-HBe Ctr 1
000000008694010001,PC EBV-M-G Elecsys Level 1
000000008329036001,HCV Duo M1 Elecsys Cal 2
000000008132747001,IGFBP-3 E2G 100 R1
000000005846625001,DIG Elecsys R1 Gen2
000000009191232001,PRO-C3 Elecsys CalCheck F1
000000007226268001,PC ISD-E Elecsys Level 1
000000009344730001,<CCP> Elecsys R1 V2
000000008178585001,Zika IgG Elecsys R1
000000009922636001,Cort Gen3 E2G 100 R2
000000006369804529,<HCV> Gen2 Elecsys Cal 2
000000006369766001,<HCV> Gen2 Elecsys R1
000000009487905001,IFNg Elecsys R2 (200er)
000000007152922001,HTLV Elecsys R2 (200er)
000000004849671001,HBSAG Gen2 Elecsys Cal 2
000000007235488001,SCC E2G 100 R2
000000004528441001,Cfas HbA1c btl w/o val
000000007233299001,RUBELLA IGG E2G 300 R2
000000008349878529,IGFBP-7 Elecsys Cal 1
000000009607609001,TROP-T HS E2G 100 R2 V2
000000007358458001,pTau Elecsys Ctr 1
000000006526527001,TG Gen2 Elecsys Cal 1
000000006741207001,ISD Elecsys CalCheck F2
000000011856219001,Elecsys Ferritin Calibr. high
000000009880496967,NfL CS Elecsys RUO int
000000010274760001,Abeta40 E2G 100 R1
000000009230238001,CK-MB Gen4 Elecsys R2 V2
000000007226225001,ISD-E Elecsys Cal 1
000000008429286529,Biotin E2G 300 R2
000000008472009001,<TSHR> Elecsys R2 V2
000000012152029001,B-CL Elecsys V-medium
000000009811044529,iTDM-B Cobas MS LeadCal F7
000000006601952001,Tacro Elecsys R1
000000007231709001,NSE E2G 300 R2
000000011968432001,Elecsys Myoglobin Cal 1
000000010194669967,Abeta40 Elecsys PC RUO bx int
000000003575659001,LH Gen2 Elecsys Cal 2
000000007325355529,AMH E2G 100 R2
000000008806349001,AFP-L3 Elecsys Cal 2
000000009669671529,iISD cobas MS Cal 2 w/o value
000000005859441001,DHEAS Elecsys CalCheck F1
000000007232381529,<CMV> IGG E2G 300 R1
000000009042636001,Vit.D total Gen3 E2G 300 PT2
000000009555919001,FSH Gen2 Elecsys Cal 1 V3
000000007231083529,HBSAG Gen2 E2G 300 R2
000000009848851001,iISD cobas MS CalCheck F1 w/o value
000000011753258001,TSH Elecsys Cal 1
000000007305389529,POSTN V2 Elecsys Cal 2
000000007230532529,CK-MB Gen4 E2G 100 R2
000000009744894001,pT181p Elecsys Cal 2
000000009085912529,PRO-C3 Elecsys R1
000000011967193001,Elecsys Anti-HBe Ctr 2
000000007208456001,CA 15-3 Gen2 E2G 100 R1
000000006369782529,<HCV> Gen2 Elecsys Cal 1
000000004929691001,PROBNP Gen2 Elecsys CalCheck F5
000000007232829001,HE4 E2G 100 R1
000000009069364001,SFLT1 Elecsys CalCheck F5
000000007230907529,free PSA II E2G 300 R2
000000006863981001,AMH Elecsys R1
000000009085947529,PRO-C3 E2G 100 R1
000000007230362529,<TSHR> E2G 300 PT2 empty
000000009669906001,iISD cobas MS Lead Cal F3
000000008132984001,IGFBP-3 Elecsys CalCheck F2
000000008132763001,IGFBP-3 E2G 100 R2
000000007218206001,PTH E2G 300 R1
000000009733647529,iSV Cobas MS LeadCal F2
000000010286822001,pT217p Elecsys Cal 1
000000005054044529,<CMV> IGM Elecsys Cal 1
000000009487395001,PC HIV Gen2 Elecsys Level 1 lq
000000008761990001,HBSAG Gen2 Elecsys R2 V2
000000005887704001,HE4 Elecsys CalCheck F4
000000007226284001,PC ISD-E Elecsys Level 3
000000007231261529,HIV Duo M1 E2G 300 R2
000000004914457529,PROBNP Gen2 Elecsys Cal 1
000000005887682529,HE4 Elecsys CalCheck F3
000000007217773529,HCG+B Gen2 E2G 300 R1
000000007217625001,FT3 Gen3 E2G 300 R2
000000006979882001,Abeta42 Elecsys Cal 1
000000009290095001,SARS-CoV2-S E2G 300 R1
000000005877709001,CEA Elecsys CalCheck F5
000000006219632001,Vitamin D Elecsys CC F5
000000008683310529,Streptavidin Assay Elecsys R1
000000010166215001,Dengue IgM Elecsys Ctr 1
000000007797583001,Syphilis Elecsys R2 (200er)
000000009843418001,NFL Elecsys Ctr 1
